game_id,season,week,season_phase,team,opponent,side,home_team,away_team,role,spread_line_away_perspective,spread_abs,spread_bucket,q1_result,q2_result,q3_result,q4_result,path4,q1_points_for,q1_points_against,q2_points_for,q2_points_against,q3_points_for,q3_points_against,q4_points_for,q4_points_against,ot_points_for,ot_points_against,after_q1_margin,after_q2_margin,after_q3_margin,after_q4_margin,after_q1_state,after_q2_state,after_q3_state,after_q4_regulation_state,after_q1_margin_bucket,after_q2_margin_bucket,after_q3_margin_bucket,after_q4_margin_bucket,final_margin,final_state,went_to_overtime
2021_13_IND_HOU,2021,13,LATE,HOU,IND,home,HOU,IND,UNDERDOG,-10.0,10.0,10-13.5,LOSS,LOSS,LOSS,LOSS,LOSS-LOSS-LOSS-LOSS,0.0,7.0,0.0,7.0,0.0,7.0,0.0,10.0,0.0,0.0,-7.0,-14.0,-21.0,-31.0,LOSS,LOSS,LOSS,LOSS,TRAIL_4_7,TRAIL_8_14,TRAIL_15_PLUS,TRAIL_15_PLUS,-31.0,LOSS,False
2021_14_SEA_HOU,2021,14,LATE,HOU,SEA,home,HOU,SEA,UNDERDOG,-10.0,10.0,10-13.5,LOSS,TIE,LOSS,LOSS,LOSS-TIE-LOSS-LOSS,7.0,10.0,6.0,6.0,0.0,3.0,0.0,14.0,0.0,0.0,-3.0,-3.0,-6.0,-20.0,LOSS,LOSS,LOSS,LOSS,TRAIL_1_3,TRAIL_1_3,TRAIL_4_7,TRAIL_15_PLUS,-20.0,LOSS,False
2021_15_HOU_JAX,2021,15,LATE,HOU,JAX,away,JAX,HOU,UNDERDOG,6.0,6.0,5-6,WIN,LOSS,TIE,WIN,WIN-LOSS-TIE-WIN,14.0,3.0,6.0,7.0,3.0,3.0,7.0,3.0,0.0,0.0,11.0,10.0,10.0,14.0,WIN,WIN,WIN,WIN,LEAD_8_14,LEAD_8_14,LEAD_8_14,LEAD_8_14,14.0,WIN,False
2021_16_LAC_HOU,2021,16,LATE,HOU,LAC,home,HOU,LAC,UNDERDOG,-13.5,13.5,10-13.5,WIN,WIN,LOSS,WIN,WIN-WIN-LOSS-WIN,7.0,6.0,10.0,6.0,0.0,3.0,24.0,14.0,0.0,0.0,1.0,5.0,2.0,12.0,WIN,WIN,WIN,WIN,LEAD_1_3,LEAD_4_7,LEAD_1_3,LEAD_8_14,12.0,WIN,False
2021_17_HOU_SF,2021,17,LATE,HOU,SF,away,SF,HOU,UNDERDOG,14.0,14.0,14+,TIE,WIN,LOSS,LOSS,TIE-WIN-LOSS-LOSS,0.0,0.0,7.0,3.0,0.0,7.0,0.0,13.0,0.0,0.0,0.0,4.0,-3.0,-16.0,TIE,WIN,LOSS,LOSS,TIE,LEAD_4_7,TRAIL_1_3,TRAIL_15_PLUS,-16.0,LOSS,False
2021_18_TEN_HOU,2021,18,LATE,HOU,TEN,home,HOU,TEN,UNDERDOG,-10.5,10.5,10-13.5,TIE,LOSS,WIN,WIN,TIE-LOSS-WIN-WIN,0.0,0.0,0.0,21.0,10.0,0.0,15.0,7.0,0.0,0.0,0.0,-21.0,-11.0,-3.0,TIE,LOSS,LOSS,LOSS,TIE,TRAIL_15_PLUS,TRAIL_8_14,TRAIL_1_3,-3.0,LOSS,False
2022_01_IND_HOU,2022,1,EARLY,HOU,IND,home,HOU,IND,UNDERDOG,-7.0,7.0,6.5-7,LOSS,WIN,WIN,LOSS,LOSS-WIN-WIN-LOSS,0.0,3.0,10.0,0.0,10.0,0.0,0.0,17.0,0.0,0.0,-3.0,7.0,17.0,0.0,LOSS,WIN,WIN,TIE,TRAIL_1_3,LEAD_4_7,LEAD_15_PLUS,TIE,0.0,TIE,True
2022_02_HOU_DEN,2022,2,EARLY,HOU,DEN,away,DEN,HOU,UNDERDOG,10.5,10.5,10-13.5,TIE,TIE,WIN,LOSS,TIE-TIE-WIN-LOSS,3.0,3.0,3.0,3.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,-7.0,TIE,TIE,WIN,LOSS,TIE,TIE,LEAD_1_3,TRAIL_4_7,-7.0,LOSS,False
2022_03_HOU_CHI,2022,3,EARLY,HOU,CHI,away,CHI,HOU,UNDERDOG,3.0,3.0,2-3,LOSS,WIN,LOSS,LOSS,LOSS-WIN-LOSS-LOSS,7.0,10.0,7.0,3.0,6.0,7.0,0.0,3.0,0.0,0.0,-3.0,1.0,0.0,-3.0,LOSS,WIN,TIE,LOSS,TRAIL_1_3,LEAD_1_3,TIE,TRAIL_1_3,-3.0,LOSS,False
2022_04_LAC_HOU,2022,4,EARLY,HOU,LAC,home,HOU,LAC,UNDERDOG,-5.5,5.5,5-6,LOSS,LOSS,WIN,WIN,LOSS-LOSS-WIN-WIN,0.0,7.0,7.0,20.0,7.0,0.0,10.0,7.0,0.0,0.0,-7.0,-20.0,-13.0,-10.0,LOSS,LOSS,LOSS,LOSS,TRAIL_4_7,TRAIL_15_PLUS,TRAIL_8_14,TRAIL_8_14,-10.0,LOSS,False
2022_05_HOU_JAX,2022,5,EARLY,HOU,JAX,away,JAX,HOU,UNDERDOG,7.0,7.0,6.5-7,LOSS,WIN,TIE,WIN,LOSS-WIN-TIE-WIN,0.0,3.0,6.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,-3.0,0.0,0.0,7.0,LOSS,TIE,TIE,WIN,TRAIL_1_3,TIE,TIE,LEAD_4_7,7.0,WIN,False
2022_07_HOU_LV,2022,7,MIDDLE,HOU,LV,away,LV,HOU,UNDERDOG,7.0,7.0,6.5-7,LOSS,WIN,WIN,LOSS,LOSS-WIN-WIN-LOSS,0.0,3.0,10.0,7.0,10.0,7.0,0.0,21.0,0.0,0.0,-3.0,0.0,3.0,-18.0,LOSS,TIE,WIN,LOSS,TRAIL_1_3,TIE,LEAD_1_3,TRAIL_15_PLUS,-18.0,LOSS,False
2022_08_TEN_HOU,2022,8,MIDDLE,HOU,TEN,home,HOU,TEN,UNDERDOG,-1.0,1.0,0.5-1.5,TIE,LOSS,LOSS,WIN,TIE-LOSS-LOSS-WIN,0.0,0.0,3.0,7.0,0.0,7.0,7.0,3.0,0.0,0.0,0.0,-4.0,-11.0,-7.0,TIE,LOSS,LOSS,LOSS,TIE,TRAIL_4_7,TRAIL_8_14,TRAIL_4_7,-7.0,LOSS,False
2022_09_PHI_HOU,2022,9,MIDDLE,HOU,PHI,home,HOU,PHI,UNDERDOG,-14.0,14.0,14+,TIE,TIE,LOSS,LOSS,TIE-TIE-LOSS-LOSS,7.0,7.0,7.0,7.0,3.0,7.0,0.0,8.0,0.0,0.0,0.0,0.0,-4.0,-12.0,TIE,TIE,LOSS,LOSS,TIE,TIE,TRAIL_4_7,TRAIL_8_14,-12.0,LOSS,False
2022_10_HOU_NYG,2022,10,MIDDLE,HOU,NYG,away,NYG,HOU,UNDERDOG,5.5,5.5,5-6,LOSS,WIN,LOSS,WIN,LOSS-WIN-LOSS-WIN,0.0,7.0,3.0,0.0,7.0,14.0,6.0,3.0,0.0,0.0,-7.0,-4.0,-11.0,-8.0,LOSS,LOSS,LOSS,LOSS,TRAIL_4_7,TRAIL_4_7,TRAIL_8_14,TRAIL_8_14,-8.0,LOSS,False
2022_11_WAS_HOU,2022,11,MIDDLE,HOU,WAS,home,HOU,WAS,UNDERDOG,-3.0,3.0,2-3,LOSS,LOSS,WIN,WIN,LOSS-LOSS-WIN-WIN,0.0,7.0,0.0,13.0,3.0,0.0,7.0,3.0,0.0,0.0,-7.0,-20.0,-17.0,-13.0,LOSS,LOSS,LOSS,LOSS,TRAIL_4_7,TRAIL_15_PLUS,TRAIL_15_PLUS,TRAIL_8_14,-13.0,LOSS,False
2022_12_HOU_MIA,2022,12,LATE,HOU,MIA,away,MIA,HOU,UNDERDOG,14.0,14.0,14+,LOSS,LOSS,WIN,WIN,LOSS-LOSS-WIN-WIN,0.0,10.0,0.0,20.0,6.0,0.0,9.0,0.0,0.0,0.0,-10.0,-30.0,-24.0,-15.0,LOSS,LOSS,LOSS,LOSS,TRAIL_8_14,TRAIL_15_PLUS,TRAIL_15_PLUS,TRAIL_15_PLUS,-15.0,LOSS,False
2022_13_CLE_HOU,2022,13,LATE,HOU,CLE,home,HOU,CLE,UNDERDOG,-7.5,7.5,7.5-9.5,WIN,LOSS,LOSS,LOSS,WIN-LOSS-LOSS-LOSS,3.0,0.0,2.0,7.0,3.0,7.0,6.0,13.0,0.0,0.0,3.0,-2.0,-6.0,-13.0,WIN,LOSS,LOSS,LOSS,LEAD_1_3,TRAIL_1_3,TRAIL_4_7,TRAIL_8_14,-13.0,LOSS,False
