completed_quarters,completed_path,next_quarter,next_result,count,sample_size,sample_quality,data_status,probability,probability_pct,next_quarter_win_count,next_quarter_loss_count,next_quarter_tie_count,next_quarter_win_probability,next_quarter_loss_probability,next_quarter_tie_probability,next_quarter_win_pct,next_quarter_loss_pct,next_quarter_tie_pct,next_quarter_fair_decimal_tie_is_loss,next_quarter_fair_american_tie_is_loss,next_quarter_fair_decimal_tie_is_push,next_quarter_fair_american_tie_is_push,after_q1_win_count,after_q1_loss_count,after_q1_tie_count,after_q1_win_probability,after_q1_loss_probability,after_q1_tie_probability,after_q1_win_pct,after_q1_loss_pct,after_q1_tie_pct,after_q1_fair_decimal_tie_is_loss,after_q1_fair_american_tie_is_loss,after_q1_fair_decimal_tie_is_push,after_q1_fair_american_tie_is_push,final_win_count,final_loss_count,final_tie_count,final_win_probability,final_loss_probability,final_tie_probability,final_win_pct,final_loss_pct,final_tie_pct,final_fair_decimal_tie_is_loss,final_fair_american_tie_is_loss,final_fair_decimal_tie_is_push,final_fair_american_tie_is_push,after_q2_win_count,after_q2_loss_count,after_q2_tie_count,after_q2_win_probability,after_q2_loss_probability,after_q2_tie_probability,after_q2_win_pct,after_q2_loss_pct,after_q2_tie_pct,after_q2_fair_decimal_tie_is_loss,after_q2_fair_american_tie_is_loss,after_q2_fair_decimal_tie_is_push,after_q2_fair_american_tie_is_push,after_q3_win_count,after_q3_loss_count,after_q3_tie_count,after_q3_win_probability,after_q3_loss_probability,after_q3_tie_probability,after_q3_win_pct,after_q3_loss_pct,after_q3_tie_pct,after_q3_fair_decimal_tie_is_loss,after_q3_fair_american_tie_is_loss,after_q3_fair_decimal_tie_is_push,after_q3_fair_american_tie_is_push,after_q4_win_count,after_q4_loss_count,after_q4_tie_count,after_q4_win_probability,after_q4_loss_probability,after_q4_tie_probability,after_q4_win_pct,after_q4_loss_pct,after_q4_tie_pct,after_q4_fair_decimal_tie_is_loss,after_q4_fair_american_tie_is_loss,after_q4_fair_decimal_tie_is_push,after_q4_fair_american_tie_is_push
2,WIN-TIE,Q3,TIE,2,2,VERY_LOW,AVAILABLE,1.0,100.0,0,0,2,0.0,0.0,1.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,,,,,,,,,,,,,,2.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,,,,,,,,,,,,,
2,LOSS-WIN,Q3,WIN,6,10,VERY_LOW,AVAILABLE,0.6,60.0,6,2,2,0.6,0.2,0.2,60.0,20.0,20.0,1.6667,-150.0,1.3333,-300.0,,,,,,,,,,,,,,6,4,0,0.6,0.4,0.0,60.0,40.0,0.0,1.6667,-150.0,1.6667,-150.0,,,,,,,,,,,,,,6.0,3.0,1.0,0.6,0.3,0.1,60.0,30.0,10.0,1.6667,-150.0,1.5,-200.0,,,,,,,,,,,,,
2,LOSS-WIN,Q3,LOSS,2,10,VERY_LOW,AVAILABLE,0.2,20.0,6,2,2,0.6,0.2,0.2,60.0,20.0,20.0,1.6667,-150.0,1.3333,-300.0,,,,,,,,,,,,,,6,4,0,0.6,0.4,0.0,60.0,40.0,0.0,1.6667,-150.0,1.6667,-150.0,,,,,,,,,,,,,,6.0,3.0,1.0,0.6,0.3,0.1,60.0,30.0,10.0,1.6667,-150.0,1.5,-200.0,,,,,,,,,,,,,
2,LOSS-WIN,Q3,TIE,2,10,VERY_LOW,AVAILABLE,0.2,20.0,6,2,2,0.6,0.2,0.2,60.0,20.0,20.0,1.6667,-150.0,1.3333,-300.0,,,,,,,,,,,,,,6,4,0,0.6,0.4,0.0,60.0,40.0,0.0,1.6667,-150.0,1.6667,-150.0,,,,,,,,,,,,,,6.0,3.0,1.0,0.6,0.3,0.1,60.0,30.0,10.0,1.6667,-150.0,1.5,-200.0,,,,,,,,,,,,,
2,LOSS-LOSS,Q3,WIN,4,8,VERY_LOW,AVAILABLE,0.5,50.0,4,3,1,0.5,0.375,0.125,50.0,37.5,12.5,2.0,100.0,1.75,-133.33,,,,,,,,,,,,,,1,7,0,0.125,0.875,0.0,12.5,87.5,0.0,8.0,700.0,8.0,700.0,,,,,,,,,,,,,,0.0,8.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,
2,LOSS-LOSS,Q3,LOSS,3,8,VERY_LOW,AVAILABLE,0.375,37.5,4,3,1,0.5,0.375,0.125,50.0,37.5,12.5,2.0,100.0,1.75,-133.33,,,,,,,,,,,,,,1,7,0,0.125,0.875,0.0,12.5,87.5,0.0,8.0,700.0,8.0,700.0,,,,,,,,,,,,,,0.0,8.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,
2,LOSS-LOSS,Q3,TIE,1,8,VERY_LOW,AVAILABLE,0.125,12.5,4,3,1,0.5,0.375,0.125,50.0,37.5,12.5,2.0,100.0,1.75,-133.33,,,,,,,,,,,,,,1,7,0,0.125,0.875,0.0,12.5,87.5,0.0,8.0,700.0,8.0,700.0,,,,,,,,,,,,,,0.0,8.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,
2,LOSS-TIE,Q3,WIN,0,1,VERY_LOW,AVAILABLE,0.0,0.0,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,
2,LOSS-TIE,Q3,LOSS,1,1,VERY_LOW,AVAILABLE,1.0,100.0,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,
2,LOSS-TIE,Q3,TIE,0,1,VERY_LOW,AVAILABLE,0.0,0.0,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,
