role,side,spread_bucket,season_phase,completed_quarters,completed_path,next_quarter,sample_size,sample_quality,next_quarter_win_count,next_quarter_loss_count,next_quarter_tie_count,next_quarter_win_probability,next_quarter_loss_probability,next_quarter_tie_probability,next_quarter_win_pct,next_quarter_loss_pct,next_quarter_tie_pct,next_quarter_fair_decimal_tie_is_loss,next_quarter_fair_american_tie_is_loss,next_quarter_fair_decimal_tie_is_push,next_quarter_fair_american_tie_is_push,final_win_count,final_loss_count,final_tie_count,final_win_probability,final_loss_probability,final_tie_probability,final_win_pct,final_loss_pct,final_tie_pct,final_fair_decimal_tie_is_loss,final_fair_american_tie_is_loss,final_fair_decimal_tie_is_push,final_fair_american_tie_is_push
FAVORITE,away,0.5-1.5,EARLY,2,TIE-LOSS,Q3,3,VERY_LOW,0,1,2,0.0,0.3333,0.6667,0.0,33.3333,66.6667,,,,,1,2,0,0.3333,0.6667,0.0,33.3333,66.6667,0.0,3.0,200.0,3.0,200.0
FAVORITE,away,0.5-1.5,EARLY,2,TIE-TIE,Q3,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
FAVORITE,away,0.5-1.5,EARLY,3,WIN-WIN-WIN,Q4,4,VERY_LOW,1,2,1,0.25,0.5,0.25,25.0,50.0,25.0,4.0,300.0,3.0,200.0,4,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,0.5-1.5,EARLY,3,WIN-WIN-LOSS,Q4,3,VERY_LOW,0,2,1,0.0,0.6667,0.3333,0.0,66.6667,33.3333,,,,,2,1,0,0.6667,0.3333,0.0,66.6667,33.3333,0.0,1.5,-200.0,1.5,-200.0
FAVORITE,away,0.5-1.5,EARLY,3,WIN-WIN-TIE,Q4,4,VERY_LOW,0,4,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,2,2,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0
FAVORITE,away,0.5-1.5,EARLY,3,WIN-LOSS-WIN,Q4,2,VERY_LOW,1,0,1,0.5,0.0,0.5,50.0,0.0,50.0,2.0,100.0,1.0,,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,0.5-1.5,EARLY,3,WIN-LOSS-LOSS,Q4,5,VERY_LOW,1,2,2,0.2,0.4,0.4,20.0,40.0,40.0,5.0,400.0,3.0,200.0,1,4,0,0.2,0.8,0.0,20.0,80.0,0.0,5.0,400.0,5.0,400.0
FAVORITE,away,0.5-1.5,EARLY,3,WIN-TIE-TIE,Q4,2,VERY_LOW,0,0,2,0.0,0.0,1.0,0.0,0.0,100.0,,,,,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,0.5-1.5,EARLY,3,LOSS-WIN-WIN,Q4,6,VERY_LOW,3,3,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0,4,2,0,0.6667,0.3333,0.0,66.6667,33.3333,0.0,1.5,-200.0,1.5,-200.0
FAVORITE,away,0.5-1.5,EARLY,3,LOSS-WIN-LOSS,Q4,2,VERY_LOW,1,0,1,0.5,0.0,0.5,50.0,0.0,50.0,2.0,100.0,1.0,,1,1,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0
FAVORITE,away,0.5-1.5,EARLY,3,LOSS-WIN-TIE,Q4,2,VERY_LOW,1,1,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0,1,1,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0
FAVORITE,away,0.5-1.5,EARLY,3,LOSS-LOSS-WIN,Q4,4,VERY_LOW,3,1,0,0.75,0.25,0.0,75.0,25.0,0.0,1.3333,-300.0,1.3333,-300.0,1,3,0,0.25,0.75,0.0,25.0,75.0,0.0,4.0,300.0,4.0,300.0
FAVORITE,away,0.5-1.5,EARLY,3,LOSS-LOSS-LOSS,Q4,3,VERY_LOW,2,1,0,0.6667,0.3333,0.0,66.6667,33.3333,0.0,1.5,-200.0,1.5,-200.0,0,3,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
FAVORITE,away,0.5-1.5,EARLY,3,LOSS-LOSS-TIE,Q4,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
FAVORITE,away,0.5-1.5,EARLY,3,LOSS-TIE-LOSS,Q4,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
FAVORITE,away,0.5-1.5,EARLY,3,TIE-WIN-WIN,Q4,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,0.5-1.5,EARLY,3,TIE-WIN-TIE,Q4,3,VERY_LOW,0,1,2,0.0,0.3333,0.6667,0.0,33.3333,66.6667,,,,,3,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,0.5-1.5,EARLY,3,TIE-LOSS-LOSS,Q4,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
FAVORITE,away,0.5-1.5,EARLY,3,TIE-LOSS-TIE,Q4,2,VERY_LOW,1,1,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0,1,1,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0
FAVORITE,away,0.5-1.5,EARLY,3,TIE-TIE-LOSS,Q4,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
