margin_trajectory_with_q3_lead,cases,su_wins,su_win_rate,break_even_ml,covers,cover_rate_pregame_spread,avg_final_margin,median_q3_wp,sample_flag
Q1_TRAIL_4_7__Q2_TRAIL_1_3__Q3_LEAD_4_7__Q3_LEAD_4-7,7,4,0.5714285714285714,-133.33333333333331,7,1.0,0.7142857142857143,0.7069886922836304,SAMPLE_TOO_SMALL
Q1_LEAD_14_PLUS__Q2_LEAD_8_13__Q3_LEAD_8_13__Q3_LEAD_8+,6,6,1.0,,6,1.0,12.166666666666666,0.9128682613372803,SAMPLE_TOO_SMALL
Q1_LEAD_8_13__Q2_LEAD_1_3__Q3_LEAD_1_3__Q3_LEAD_1-3,6,5,0.8333333333333334,-500.00000000000017,6,1.0,2.5,0.6839908063411713,SAMPLE_TOO_SMALL
Q1_TRAIL_4_7__Q2_TRAIL_4_7__Q3_LEAD_4_7__Q3_LEAD_4-7,6,5,0.8333333333333334,-500.00000000000017,5,0.8333333333333334,5.0,0.7213220000267029,SAMPLE_TOO_SMALL
Q1_LEAD_1_3__Q2_LEAD_1_3__Q3_LEAD_4_7__Q3_LEAD_4-7,6,4,0.6666666666666666,-199.99999999999994,6,1.0,2.6666666666666665,0.7312566637992859,SAMPLE_TOO_SMALL
Q1_LEAD_1_3__Q2_TRAIL_4_7__Q3_LEAD_1_3__Q3_LEAD_1-3,6,3,0.5,-100.0,5,0.8333333333333334,-0.8333333333333334,0.5670788884162903,SAMPLE_TOO_SMALL
Q1_LEAD_4_7__Q2_LEAD_14_PLUS__Q3_LEAD_4_7__Q3_LEAD_4-7,6,3,0.5,-100.0,5,0.8333333333333334,0.0,0.7515257298946381,SAMPLE_TOO_SMALL
Q1_TIE__Q2_TRAIL_1_3__Q3_LEAD_1_3__Q3_LEAD_1-3,6,3,0.5,-100.0,5,0.8333333333333334,2.0,0.632853776216507,SAMPLE_TOO_SMALL
Q1_TRAIL_4_7__Q2_LEAD_4_7__Q3_LEAD_4_7__Q3_LEAD_4-7,6,2,0.3333333333333333,200.00000000000003,3,0.5,0.16666666666666666,0.7324721217155457,SAMPLE_TOO_SMALL
Q1_TRAIL_4_7__Q2_LEAD_4_7__Q3_LEAD_14_PLUS__Q3_LEAD_8+,5,5,1.0,,5,1.0,11.6,0.9457681179046631,SAMPLE_TOO_SMALL
Q1_TRAIL_4_7__Q2_LEAD_8_13__Q3_LEAD_14_PLUS__Q3_LEAD_8+,5,5,1.0,,5,1.0,13.2,0.9740160703659058,SAMPLE_TOO_SMALL
Q1_LEAD_8_13__Q2_LEAD_8_13__Q3_LEAD_8_13__Q3_LEAD_8+,5,4,0.8,-400.0000000000001,5,1.0,6.8,0.8758774995803833,SAMPLE_TOO_SMALL
Q1_TIE__Q2_LEAD_8_13__Q3_LEAD_1_3__Q3_LEAD_1-3,5,4,0.8,-400.0000000000001,4,0.8,5.8,0.7069588303565979,SAMPLE_TOO_SMALL
Q1_LEAD_14_PLUS__Q2_LEAD_14_PLUS__Q3_LEAD_4_7__Q3_LEAD_4-7,5,3,0.6,-150.0,4,0.8,3.0,0.8536568284034729,SAMPLE_TOO_SMALL
Q1_TIE__Q2_LEAD_14_PLUS__Q3_LEAD_4_7__Q3_LEAD_4-7,5,3,0.6,-150.0,5,1.0,2.2,0.7431592345237732,SAMPLE_TOO_SMALL
Q1_LEAD_14_PLUS__Q2_LEAD_8_13__Q3_LEAD_1_3__Q3_LEAD_1-3,5,2,0.4,150.0,4,0.8,2.4,0.6249638795852661,SAMPLE_TOO_SMALL
Q1_LEAD_1_3__Q2_TIE__Q3_LEAD_1_3__Q3_LEAD_1-3,5,2,0.4,150.0,3,0.6,-1.8,0.6048629283905029,SAMPLE_TOO_SMALL
Q1_LEAD_1_3__Q2_TIE__Q3_LEAD_4_7__Q3_LEAD_4-7,5,2,0.4,150.0,2,0.4,-1.2,0.7412035465240479,SAMPLE_TOO_SMALL
Q1_TRAIL_1_3__Q2_TRAIL_1_3__Q3_LEAD_4_7__Q3_LEAD_4-7,5,2,0.4,150.0,4,0.8,0.6,0.6457372903823853,SAMPLE_TOO_SMALL
Q1_LEAD_14_PLUS__Q2_LEAD_4_7__Q3_LEAD_14_PLUS__Q3_LEAD_8+,4,4,1.0,,4,1.0,11.25,0.9704342484474182,SAMPLE_TOO_SMALL
Q1_LEAD_1_3__Q2_LEAD_1_3__Q3_LEAD_14_PLUS__Q3_LEAD_8+,4,4,1.0,,4,1.0,9.0,0.9310956597328186,SAMPLE_TOO_SMALL
Q1_LEAD_1_3__Q2_LEAD_8_13__Q3_LEAD_1_3__Q3_LEAD_1-3,4,4,1.0,,4,1.0,6.25,0.65947625041008,SAMPLE_TOO_SMALL
Q1_LEAD_4_7__Q2_LEAD_1_3__Q3_LEAD_14_PLUS__Q3_LEAD_8+,4,4,1.0,,4,1.0,10.75,0.9603770673274994,SAMPLE_TOO_SMALL
Q1_TIE__Q2_LEAD_14_PLUS__Q3_LEAD_8_13__Q3_LEAD_8+,4,4,1.0,,4,1.0,13.5,0.9174001216888428,SAMPLE_TOO_SMALL
Q1_TRAIL_1_3__Q2_LEAD_14_PLUS__Q3_LEAD_14_PLUS__Q3_LEAD_8+,4,4,1.0,,4,1.0,12.0,0.9565088450908661,SAMPLE_TOO_SMALL
