game_id,snapshot,underdog_side,underdog_team,favorite_team,spread_line_away_perspective,underdog_score_now,favorite_score_now,underdog_margin_now,underdog_wp,underdog_fair_ml,underdog_vegas_wp,underdog_vegas_fair_ml,underdog_final,favorite_final,underdog_final_margin,underdog_won_su,underdog_covered,ats_margin,pregame_spread_abs,season
2017_04_CAR_NE,H1,away,CAR,NE,9.0,17.0,16.0,1.0,0.5368156433105469,-115.89675591536884,0.4239720106124878,135.86462666612306,33,30,3,True,True,12.0,9.0,2017
2017_04_IND_SEA,H1,away,IND,SEA,12.5,15.0,10.0,5.0,0.6439070105552673,-180.82552300715957,0.34929317235946655,186.29245548804326,18,46,-28,False,False,-15.5,12.5,2017
2017_04_PHI_LAC,H1,away,PHI,LAC,1.5,16.0,10.0,6.0,0.7424898743629456,-288.3342441490794,0.7169361710548401,-253.27721091264456,26,24,2,True,True,3.5,1.5,2017
2017_04_TEN_HOU,H1,home,HOU,TEN,-2.5,30.0,14.0,16.0,0.9260119795799255,-1251.5701519278377,0.8650965690612793,-641.2709914355296,57,14,43,True,True,45.5,2.5,2017
2017_04_WAS_KC,H1,away,WAS,KC,6.5,10.0,7.0,3.0,0.5506046414375305,-122.52121232377885,0.44011855125427246,127.21150861515576,20,29,-9,False,False,-2.5,6.5,2017
2017_05_BAL_OAK,H1,away,BAL,LV,3.0,24.0,10.0,14.0,0.8602129220962524,-615.3737062080693,0.8287119269371033,-483.8118101969665,30,17,13,True,True,16.0,3.0,2017
2017_05_CAR_DET,H1,away,CAR,DET,2.0,17.0,10.0,7.0,0.7313575148582458,-272.2419406120114,0.7217602729797363,-259.4023077542669,27,24,3,True,True,5.0,2.0,2017
2017_05_JAX_PIT,H1,away,JAX,PIT,7.5,7.0,6.0,1.0,0.46048271656036377,117.16341657068729,0.3404091000556946,193.76417958168253,30,9,21,True,True,28.5,7.5,2017
2017_05_LAC_NYG,H1,away,LAC,NYG,3.0,10.0,9.0,1.0,0.46048271656036377,117.16341657068729,0.4680348038673401,113.65932442140355,27,22,5,True,True,8.0,3.0,2017
2017_06_CHI_BAL,H1,away,CHI,BAL,5.5,10.0,3.0,7.0,0.7313575148582458,-272.2419406120114,0.6504951119422913,-186.11903128372967,27,24,3,True,True,8.5,5.5,2017
2017_06_GB_MIN,H1,home,MIN,GB,-3.0,14.0,10.0,4.0,0.6962094306945801,-229.17414200393975,0.5761141180992126,-135.91255163201097,23,10,13,True,True,16.0,3.0,2017
2017_06_IND_TEN,H1,away,IND,TEN,7.0,13.0,9.0,4.0,0.6154525876045227,-160.0459573425961,0.48935526609420776,104.35051368334227,22,36,-14,False,False,-7.0,7.0,2017
2017_06_LA_JAX,H1,away,LA,JAX,1.0,24.0,14.0,10.0,0.7062244415283203,-240.39591489582725,0.7260538637638092,-265.0352634058764,27,17,10,True,True,11.0,1.0,2017
2017_06_NE_NYJ,H1,home,NYJ,NE,-9.0,14.0,7.0,7.0,0.7745179533958435,-343.4942892617714,0.5115373134613037,-104.7239282668891,17,24,-7,False,True,2.0,9.0,2017
2017_06_NYG_DEN,H1,away,NYG,DEN,14.0,17.0,3.0,14.0,0.8951838612556458,-854.0515534911968,0.6980120539665222,-231.13904483099535,23,10,13,True,True,27.0,14.0,2017
2017_06_PIT_KC,H1,away,PIT,KC,3.5,12.0,3.0,9.0,0.7687192559242249,-332.3749493266795,0.7228044867515564,-260.7561999402654,19,13,6,True,True,9.5,3.5,2017
2017_06_TB_ARI,H1,home,ARI,TB,-2.5,24.0,0.0,24.0,0.9702783226966858,-3264.547665984153,0.9599334001541138,-2395.84442864241,38,33,5,True,True,7.5,2.5,2017
2017_07_CAR_CHI,H1,home,CHI,CAR,-2.5,17.0,3.0,14.0,0.9166976809501648,-1100.4467719581191,0.8561092019081116,-594.971473687568,17,3,14,True,True,16.5,2.5,2017
2017_07_DEN_LAC,H1,home,LAC,DEN,-1.0,14.0,0.0,14.0,0.9166976809501648,-1100.4467719581191,0.8675886392593384,-655.2222063170101,21,0,21,True,True,22.0,1.0,2017
2017_07_NO_GB,H1,home,GB,NO,-3.5,14.0,7.0,7.0,0.748828649520874,-298.13457947828596,0.6241867542266846,-166.08960999825538,17,26,-9,False,False,-5.5,3.5,2017
2017_07_NYJ_MIA,H1,away,NYJ,MIA,3.0,21.0,14.0,7.0,0.7069733738899231,-241.2659160960837,0.6638984382152557,-197.52911432183362,28,31,-3,False,False,0.0,3.0,2017
2017_07_SEA_NYG,H1,home,NYG,SEA,-4.0,7.0,3.0,4.0,0.6962094306945801,-229.17414200393975,0.5284324288368225,-112.058687058014,7,24,-17,False,False,-13.0,4.0,2017
2017_08_ATL_NYJ,H1,home,NYJ,ATL,-6.5,17.0,13.0,4.0,0.6569479703903198,-191.50097177322812,0.43960386514663696,127.47752676524668,20,25,-5,False,True,1.5,6.5,2017
2017_08_CAR_TB,H1,away,CAR,TB,1.5,10.0,0.0,10.0,0.8049947023391724,-412.8065811521173,0.7896943688392639,-375.4984421866015,17,3,14,True,True,15.5,1.5,2017
