flow_margin_trajectory_with_q3_lead,cases,su_wins,su_win_rate,break_even_ml,covers,cover_rate_pregame_spread,avg_final_margin,median_q3_wp,sample_flag
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_TIE__Q2_LEAD_1_3__Q3_LEAD_1_3__Q3_LEAD_1-3,12,6,0.5,-100.0,9,0.75,0.0,0.523097425699234,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_WIN_AFTER_Q2_WIN__P3_WIN_AFTER_Q3_WIN__Q1_LEAD_8_13__Q2_LEAD_14_PLUS__Q3_LEAD_14_PLUS__Q3_LEAD_8+,11,11,1.0,,11,1.0,25.09090909090909,0.9991002082824707,SAMPLE_TOO_SMALL
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_TIE__Q2_LEAD_4_7__Q3_LEAD_1_3__Q3_LEAD_1-3,11,4,0.36363636363636365,175.0,8,0.7272727272727273,-1.6363636363636365,0.5697317123413086,SAMPLE_TOO_SMALL
P1_WIN_AFTER_Q1_WIN__P2_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_LEAD_4_7__Q2_LEAD_14_PLUS__Q3_LEAD_8_13__Q3_LEAD_8+,10,10,1.0,,10,1.0,6.4,0.9108580052852631,SAMPLE_TOO_SMALL
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_WIN_AFTER_Q2_WIN__P3_WIN_AFTER_Q3_WIN__Q1_TIE__Q2_LEAD_4_7__Q3_LEAD_14_PLUS__Q3_LEAD_8+,10,9,0.9,-900.0000000000002,9,0.9,12.5,0.9581989049911499,SAMPLE_TOO_SMALL
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_TIE__Q2_LEAD_8_13__Q3_LEAD_4_7__Q3_LEAD_4-7,10,7,0.7,-233.3333333333333,9,0.9,3.0,0.7787161469459534,SAMPLE_TOO_SMALL
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_WIN_AFTER_Q2_WIN__P3_WIN_AFTER_Q3_WIN__Q1_TIE__Q2_LEAD_8_13__Q3_LEAD_14_PLUS__Q3_LEAD_8+,9,9,1.0,,9,1.0,17.77777777777778,0.98032546043396,SAMPLE_TOO_SMALL
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_WIN_AFTER_Q2_WIN__P3_WIN_AFTER_Q3_WIN__Q1_TIE__Q2_LEAD_14_PLUS__Q3_LEAD_14_PLUS__Q3_LEAD_8+,9,8,0.8888888888888888,-799.9999999999997,8,0.8888888888888888,18.11111111111111,0.9899119734764099,SAMPLE_TOO_SMALL
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_WIN_AFTER_Q2_NOT_WIN__P3_WIN_AFTER_Q3_WIN__Q1_TRAIL_4_7__Q2_TIE__Q3_LEAD_4_7__Q3_LEAD_4-7,9,7,0.7777777777777778,-350.00000000000006,7,0.7777777777777778,5.777777777777778,0.7478041052818298,SAMPLE_TOO_SMALL
P1_NOT_WIN_AFTER_Q1_NOT_WIN__P2_WIN_AFTER_Q2_WIN__P3_NOT_WIN_AFTER_Q3_WIN__Q1_TRAIL_4_7__Q2_LEAD_8_13__Q3_LEAD_8_13__Q3_LEAD_8+,9,7,0.7777777777777778,-350.00000000000006,8,0.8888888888888888,4.666666666666667,0.8525794148445129,SAMPLE_TOO_SMALL
